"Date","icu_covid","icu_pui","icu_other","icu_available","non_icu_covid","non_icu_pui","non_icu_other","non_icu_available","vents_pts","vents_available","covid_new","covid_total","pui_total","covid_total_7davg","pui_total_7davg","covid_pct_7davg","covid_pui_pct_7davg","other_total","available_total","icu_covid_pct_7davg","icu_covid_pui_pct_7davg","non_icu_covid_pct_7davg","non_icu_covid_pui_pct_7davg","cap_pct_7davg_total","icu_cap_pct_7davg","non_icu_cap_pct_7davg","icu_covid_pct","non_icu_covid_pct","icu_cap_pct_1day","non_icu_cap_pct_1day","icu_total_patients","icu_typical_capacity","typical_icu_occupied_pct","non_icu_total_patients","non_icu_typical_capacity","typical_non_icu_occupied_pct","icu_available_under_typical","non_icu_available_under_typical"
"2020/03/27","63","22",,"66","62","52",,"293","95",,,"125","74","125","74","22.0%","36.0%","0","359","42.0%","56.0%","15.0%","28.0%","64.0%","44.0%","72.0%","0.42","0.15","0.44","0.72","85","317","0.27","114","1,754","0.06","66","293"
"2020/03/28","66","30",,"87","75","64",,"403","90",,,"141","94","133","84","21.0%","34.0%","0","490","39.0%","54.0%","14.0%","27.0%","66.0%","46.0%","73.0%","0.36","0.14","0.48","0.74","96","317","0.3","139","1,754","0.08","87","403"
"2020/03/29","69","13",,"91","81","49",,"549","115",,,"150","62","138.66667","76.66667","19.0%","30.0%","0","640","39.0%","52.0%","13.0%","24.0%","70.0%","48.0%","76.0%","0.4","0.12","0.53","0.81","82","317","0.26","130","1,754","0.07","91","549"
"2020/03/30","72","34",,"68","82","74",,"579","110",,,"154","108","142.5","84.5","19.0%","30.0%","0","647","40.0%","54.0%","13.0%","23.0%","70.0%","46.0%","77.0%","0.41","0.11","0.39","0.79","106","317","0.33","156","1,754","0.09","68","579"
"2020/03/31","73","19",,"73","76","68",,"630","107",,,"149","87","143.8","85","18.0%","29.0%","0","703","41.0%","54.0%","12.0%","22.0%","71.0%","46.0%","78.0%","0.44","0.1","0.44","0.81","92","317","0.29","144","1,754","0.08","73","630"
"2020/04/01","82","13",,"70","70","56",,"491","128",,,"152","69","145.16667","82.33333","18.0%","29.0%","0","561","42.0%","55.0%","12.0%","22.0%","71.0%","45.0%","78.0%","0.5","0.11","0.42","0.8","95","317","0.3","126","1,754","0.07","70","491"
"2020/04/02","75","19",,"71","90","58",,"394","143",,,"165","77","148","81.57143","19.0%","29.0%","0","465","43.0%","55.0%","12.0%","22.0%","71.0%","45.0%","78.0%","0.45","0.17","0.43","0.73","94","317","0.3","148","1,754","0.08","71","394"
"2020/04/03","76","17",,"70","89","54",,"368","145",,,"165","71","153.71429","81.14286","19.0%","29.0%","0","438","43.0%","55.0%","13.0%","22.0%","71.0%","45.0%","78.0%","0.47","0.17","0.43","0.72","93","317","0.29","143","1,754","0.08","70","368"
"2020/04/04","69","15",,"76","99","48",,"336","113",,,"168","63","157.57143","76.71429","20.0%","30.0%","0","412","44.0%","55.0%","14.0%","23.0%","70.0%","45.0%","77.0%","0.43","0.2","0.48","0.7","84","317","0.26","147","1,754","0.08","76","336"
"2020/04/05","72","12",,"136","95","46",,"420","130",,,"167","58","160","76.14286","21.0%","30.0%","0","556","43.0%","53.0%","14.0%","24.0%","70.0%","47.0%","76.0%","0.33","0.17","0.62","0.75","84","317","0.26","141","1,754","0.08","136","420"
"2020/04/06","72","8",,"96","111","56",,"479","166",,,"183","64","164.14286","69.85714","21.0%","31.0%","0","575","43.0%","51.0%","15.0%","25.0%","69.0%","49.0%","75.0%","0.41","0.17","0.55","0.74","80","317","0.25","167","1,754","0.1","96","479"
